memType,word_counts,num_sentences,num_syllables,avg_syllables_per_word,fk_grade,fk_read,Analytic,Authentic,Tone,tone_pos,tone_neg,focuspast,focuspresent,focusfuture,Cognition,memory,Self-reference,Other-reference,Contextual Embedding,Perceptual Details,Reality Monitoring,concr_score,Temporal details,Spatial details,People,Quantity details
recalled,221,15,266,1.209090909090909,4.3,90.39,42.64,30.98,26.12,1.36,0.9,15.84,0.45,0.45,7.69,0.0,5.42,11.760000000000002,17.19,3.1599999999999997,14.919999999999998,3.245789473684211,0.0135746606334841,0.0,0.0,0.004524886877828
imagined,261,17,297,1.16015625,4.5,89.99,46.77,1.0,20.23,2.3,2.3,13.03,2.3,1.15,7.28,0.0,7.66,6.13,8.44,0.77,6.5299999999999985,3.330535714285714,0.0076628352490421,0.0,0.0,0.015325670498084198
recalled,386,21,502,1.3175853018372703,6.8,78.48,40.78,31.76,47.7,3.62,1.81,10.85,1.03,0.78,12.4,0.52,5.68,7.760000000000001,16.29,1.56,10.879999999999997,3.2218867924528296,0.0181347150259066,0.0,0.0,0.0025906735751295
imagined,187,18,245,1.3101604278074865,3.8,86.3,17.52,14.54,84.18,4.81,0.53,14.97,1.6,0.53,8.02,0.0,9.629999999999999,8.549999999999999,12.83,6.9399999999999995,18.169999999999998,3.1917857142857144,0.0160427807486631,0.0,0.0,0.0
recalled,347,19,510,1.4782608695652173,9.2,61.46,31.31,75.03,60.88,3.74,1.15,6.9,4.02,0.0,16.38,0.29,10.05,4.6,11.780000000000001,4.01,4.300000000000001,2.8991752577319585,0.0057636887608069,0.0,0.0,0.0057636887608069
imagined,231,14,294,1.3066666666666666,6.0,80.51,30.53,62.18,46.24,3.88,2.16,9.05,2.16,1.72,11.21,0.43,10.34,3.02,11.21,3.01,9.04,3.0842028985507253,0.0086580086580086,0.0,0.0086580086580086,0.0216450216450216
recalled,230,16,272,1.2142857142857142,4.0,91.11,28.85,90.1,74.5,3.91,0.43,9.57,3.91,1.3,12.61,0.0,12.610000000000001,0.87,11.3,0.43,3.469999999999999,2.913818181818181,0.0130434782608695,0.0,0.0,0.0043478260869565
imagined,184,16,227,1.2472527472527473,3.0,93.74,52.42,99.0,44.68,2.17,0.54,11.41,0.54,1.09,5.98,0.0,11.41,1.6300000000000001,20.65,2.72,20.109999999999996,3.220681818181818,0.0054347826086956,0.0,0.0,0.0054347826086956
recalled,269,15,350,1.320754716981132,6.7,78.89,11.95,95.09,16.01,2.24,2.61,11.19,1.49,0.37,14.55,0.37,12.31,1.87,10.08,4.1000000000000005,4.849999999999998,2.905217391304349,0.0111524163568773,0.0,0.0,0.0074349442379182
imagined,226,15,276,1.2777777777777777,5.4,82.24,38.67,87.04,20.23,4.42,4.42,6.64,3.1,1.77,10.18,0.0,12.83,0.0,12.83,2.21,13.71,3.031034482758621,0.0132743362831858,0.0,0.0,0.0
recalled,459,25,589,1.2945054945054946,6.8,78.38,38.3,99.0,3.15,1.31,3.7,11.55,0.87,0.22,11.98,0.22,12.85,2.8400000000000003,14.379999999999999,3.92,11.329999999999995,3.3200781249999998,0.0065359477124182,0.0,0.0,0.0065359477124182
imagined,261,14,363,1.4069767441860466,8.1,69.72,31.31,94.27,74.09,4.6,1.15,8.05,2.3,1.53,16.09,0.0,8.81,0.76,11.870000000000001,2.6799999999999997,4.970000000000002,2.8108450704225345,0.003831417624521,0.0,0.0,0.0114942528735631
recalled,198,15,232,1.1958762886597938,3.6,92.22,19.76,94.16,59.87,3.03,0.51,6.06,2.53,1.01,18.18,0.0,8.08,1.01,8.59,1.01,-5.039999999999999,3.0210869565217386,0.0252525252525252,0.0,0.0,0.0101010101010101
imagined,289,16,373,1.3274021352313168,6.6,78.99,68.02,74.8,86.35,5.54,1.04,7.96,1.04,1.04,10.38,1.04,7.960000000000001,0.0,12.11,2.77,11.769999999999998,3.2047311827956992,0.0207612456747403,0.0103806228373702,0.0,0.0
recalled,299,16,384,1.2972972972972974,7.0,78.08,26.74,68.24,77.17,4.35,0.67,9.03,1.0,1.0,13.04,1.34,9.36,0.33,11.709999999999999,2.34,6.699999999999999,2.9458333333333333,0.0133779264214046,0.0066889632107023,0.0,0.0033444816053511
imagined,493,15,632,1.2950819672131149,12.4,63.87,26.23,77.66,98.26,6.9,0.0,9.74,1.42,0.41,15.01,1.01,7.71,1.8299999999999998,12.17,2.84,7.299999999999999,2.98264,0.0202839756592291,0.0,0.0020283975659229,0.0040567951318458
recalled,405,16,491,1.2123456790123457,8.4,79.64,50.8,92.8,95.6,7.16,1.23,8.4,0.74,2.22,9.88,0.0,9.38,1.48,15.07,1.23,14.820000000000002,3.081182795698924,0.0049382716049382,0.0,0.0,0.0049382716049382
imagined,176,18,211,1.2411764705882353,2.2,95.77,55.38,79.84,98.14,6.82,0.0,8.52,2.27,0.57,6.25,0.0,4.54,3.4099999999999997,20.45,2.84,23.86,3.452407407407407,0.0170454545454545,0.0227272727272726,0.0170454545454545,0.0
recalled,192,16,240,1.263157894736842,4.4,84.78,69.33,89.39,76.74,3.65,0.0,14.58,0.52,1.04,5.73,1.04,10.41,0.0,18.240000000000002,1.04,17.2,3.3285416666666663,0.0312499999999999,0.0416666666666666,0.0,0.0052083333333333
imagined,121,15,157,1.353448275862069,3.9,80.58,50.09,98.21,1.27,1.65,4.96,8.26,2.48,0.83,10.74,0.0,17.35,0.0,18.18,0.83,14.879999999999997,3.106279069767442,0.024793388429752,0.0,0.0,0.0165289256198347
recalled,288,15,390,1.3588850174216027,8.4,69.01,24.42,90.5,1.56,2.78,5.9,11.11,1.74,0.69,11.46,0.0,11.459999999999999,0.35,13.89,2.7800000000000002,14.590000000000003,2.776511627906977,0.0173611111111111,0.0,0.0,0.0069444444444444
imagined,490,16,640,1.3278008298755186,11.5,66.3,50.71,97.95,77.1,4.08,0.41,8.57,0.82,0.82,12.24,0.0,6.32,0.0,17.76,3.06,13.070000000000002,3.148317757009346,0.006122448979591799,0.0448979591836733,0.0,0.0
recalled,366,23,494,1.368421052631579,7.1,72.46,67.27,78.16,67.56,3.55,0.55,10.66,0.0,0.55,10.11,0.27,11.48,1.09,17.759999999999998,1.6500000000000001,13.669999999999998,3.062680412371134,0.0163934426229508,0.0355191256830599,0.0,0.0027322404371584
imagined,455,18,610,1.3436123348017621,9.6,71.28,50.23,86.41,83.1,4.18,0.0,7.69,2.86,1.1,12.97,0.44,8.790000000000001,0.44,15.16,3.08,9.450000000000001,3.119491525423729,0.0087912087912087,0.0043956043956042,0.0,0.0043956043956043
recalled,160,15,198,1.2375,2.7,94.45,54.7,94.38,96.74,6.25,0.0,12.5,0.0,0.0,6.25,0.0,9.38,0.0,16.26,0.63,16.89,3.0327659574468084,0.025,0.00625,0.0,0.0
recalled,331,18,415,1.2613981762917934,6.9,78.28,11.17,74.52,80.26,4.53,0.6,13.6,1.81,0.91,11.78,0.3,8.46,1.81,15.11,1.7999999999999998,10.570000000000002,3.324074074074074,0.0060422960725075,0.0090634441087612,0.0,0.0
imagined,135,15,156,1.164179104477612,2.0,96.28,53.05,93.95,77.5,6.67,2.96,8.89,1.48,1.48,8.15,0.0,14.81,2.22,8.15,0.74,10.370000000000003,2.803529411764706,0.0222222222222222,0.0,0.0,0.0
recalled,24,3,43,1.8695652173913044,9.8,38.28,26.1,39.59,83.0,4.17,0.0,0.0,8.33,0.0,0.0,0.0,12.5,0.0,4.17,0.0,8.34,2.623333333333333,0.0,0.0,0.0,0.0
imagined,191,16,233,1.2328042328042328,3.2,93.34,52.59,95.97,94.91,6.81,1.05,6.81,2.62,0.52,9.95,0.0,7.85,4.19,24.6,1.04,24.070000000000004,3.0289795918367344,0.0104712041884816,0.0,0.0,0.0
imagined,268,17,336,1.3280632411067195,5.6,81.73,16.37,86.72,72.8,3.73,0.37,7.84,1.87,1.49,10.82,0.0,7.84,5.59,17.91,2.24,13.43,3.095540540540541,0.0298507462686567,0.003731343283582,0.0111940298507462,0.003731343283582
recalled,410,23,486,1.208955223880597,5.4,87.55,24.62,84.27,85.32,4.39,0.0,10.98,1.71,2.68,10.24,0.24,8.540000000000001,8.06,18.78,3.66,16.83,3.062758620689655,0.0048780487804878,0.0,0.0,0.0024390243902439
imagined,312,17,379,1.238562091503268,5.6,87.05,47.73,68.87,83.0,5.13,0.96,9.94,0.64,1.28,9.29,0.0,10.569999999999999,4.17,14.100000000000001,2.2399999999999998,13.46,3.1475,0.0064102564102564,0.0,0.0,0.0
recalled,524,15,693,1.3326923076923076,13.3,61.63,33.1,91.18,87.11,5.53,0.95,4.2,2.48,1.15,9.16,0.19,11.83,4.78,14.120000000000001,2.68,14.7,3.020546875,0.0114503816793892,0.0,0.0,0.0
imagined,187,18,237,1.281081081081081,3.8,86.4,56.39,91.45,78.01,5.35,1.6,15.51,0.53,0.0,5.35,0.0,9.09,3.2,19.25,0.53,21.380000000000003,3.5024489795918368,0.0106951871657754,0.0,0.0,0.0
recalled,175,16,213,1.217142857142857,2.8,94.25,33.21,47.05,73.81,6.29,2.86,13.14,1.71,0.57,9.14,0.57,6.29,1.71,7.42,0.57,7.990000000000002,3.153333333333333,0.0057142857142857,0.0,0.0,0.0057142857142857
imagined,129,16,152,1.178294573643411,1.7,97.09,48.5,91.21,56.53,5.43,3.1,14.73,1.55,1.55,6.98,3.1,13.18,6.2,16.29,0.78,18.62,3.5390697674418607,0.0387596899224806,0.0,0.0,0.0
recalled,258,16,308,1.203125,4.8,89.08,36.14,82.02,20.23,2.32,2.32,11.97,1.54,2.32,6.56,0.0,9.27,7.72,17.759999999999998,3.48,19.31,3.4322784810126574,0.0232558139534883,0.0,0.0,0.0
imagined,284,17,349,1.3120300751879699,5.8,81.02,20.42,43.75,12.8,2.46,3.17,5.63,1.76,2.46,17.96,0.0,5.9799999999999995,6.34,11.27,1.7499999999999998,1.0499999999999972,3.1077215189873417,0.0105633802816901,0.0035211267605633,0.0070422535211267,0.01056338028169
recalled,507,15,627,1.2718052738336714,12.6,63.46,20.11,84.31,28.11,1.38,0.79,11.83,2.76,1.18,12.62,0.99,7.89,3.95,16.96,3.35,9.860000000000005,3.1203478260869564,0.0039447731755424,0.0,0.0,0.0078895463510848
imagined,125,16,153,1.2439024390243902,1.6,97.5,17.67,98.64,31.2,1.6,0.8,12.0,0.8,0.8,16.8,0.0,13.6,0.0,11.2,1.6,-1.6000000000000014,3.0778125000000003,0.008,0.0,0.0,0.008
recalled,387,20,469,1.2213541666666667,6.1,85.83,72.21,97.21,60.85,3.1,0.52,9.56,1.29,0.78,6.46,0.0,9.3,0.26,16.8,1.56,15.52,3.386330275229358,0.0103359173126614,0.0,0.0,0.0103359173126614
imagined,274,15,361,1.337037037037037,6.8,78.59,41.65,56.19,47.97,4.38,2.55,9.49,1.46,0.73,13.5,0.73,7.66,8.749999999999998,16.42,1.8199999999999998,11.670000000000002,2.8922784810126583,0.0145985401459854,0.0,0.0,0.010948905109489
imagined,419,19,533,1.28125,8.3,74.63,17.05,2.63,33.57,3.58,2.63,10.98,3.34,0.24,11.69,0.24,6.45,11.940000000000001,10.26,1.44,6.6899999999999995,2.9038043478260875,0.009546539379474901,0.0,0.035799522673031,0.0023866348448687
recalled,225,16,284,1.290909090909091,5.1,82.85,34.61,63.35,47.16,3.56,1.78,12.0,0.44,1.78,5.33,0.44,10.66,4.45,12.440000000000001,2.65,15.090000000000002,3.098387096774193,0.0177777777777776,0.0,0.0,0.0
imagined,265,18,332,1.2575757575757576,5.5,81.93,36.44,91.43,15.97,1.51,1.89,15.47,0.38,0.38,8.68,0.38,12.45,0.75,16.98,6.419999999999999,18.49,3.3228571428571425,0.0226415094339622,0.0,0.0,0.0
recalled,301,19,396,1.3288590604026846,5.9,80.92,58.8,92.98,10.38,0.33,1.33,10.63,0.66,1.33,14.29,0.0,7.970000000000001,2.66,16.28,2.66,6.980000000000004,3.09325,0.0132890365448504,0.0,0.0,0.0099667774086378
imagined,312,17,397,1.3233333333333333,6.6,78.99,25.32,48.76,1.94,2.56,5.45,12.5,1.28,0.32,8.97,0.0,8.65,4.8100000000000005,10.89,1.6,11.53,2.9674999999999994,0.0064102564102564,0.0,0.032051282051282,0.0032051282051282
recalled,208,26,272,1.3203883495145632,2.8,88.84,11.78,90.91,4.87,0.96,2.88,8.65,0.96,0.0,8.65,0.0,9.13,6.25,12.49,2.4,10.569999999999999,2.9852272727272733,0.0192307692307692,0.0,0.0,0.0096153846153846
imagined,276,20,360,1.3186813186813187,5.1,82.95,49.68,89.39,98.81,8.33,1.09,10.51,1.45,0.0,11.59,0.36,13.04,1.45,14.129999999999999,0.72,12.68,2.8301282051282053,0.0108695652173913,0.0,0.0,0.0
recalled,383,21,489,1.3074866310160427,6.7,78.79,69.26,34.52,52.5,2.87,0.78,8.36,0.52,0.78,10.18,0.0,7.83,1.83,11.75,2.08,7.57,3.1379464285714285,0.018276762402088698,0.0078328981723237,0.02088772845953,0.0026109660574412
imagined,205,18,245,1.2373737373737375,2.9,94.15,19.71,59.99,20.23,2.93,2.93,13.66,0.0,0.98,8.78,0.0,14.15,8.29,12.68,1.47,11.710000000000003,3.0304444444444445,0.0048780487804878,0.0,0.0,0.0
recalled,237,19,281,1.2378854625550662,3.2,93.24,45.23,80.13,5.97,2.11,3.8,3.8,5.91,0.84,8.86,0.0,9.28,3.8,14.349999999999998,1.27,13.509999999999998,3.054745762711864,0.0168776371308016,0.0,0.0084388185654008,0.0042194092827004
recalled,338,21,503,1.4970238095238095,8.4,63.7,80.27,32.9,88.43,5.03,0.3,7.69,0.59,2.96,8.58,0.0,6.21,5.03,12.420000000000002,1.19,10.360000000000001,2.9965957446808504,0.0177514792899408,0.0029585798816568,0.0,0.0029585798816568
imagined,127,16,153,1.204724409448819,1.7,97.3,57.19,1.14,80.37,5.51,1.57,14.17,0.0,0.0,5.51,0.0,7.08,11.81,7.87,0.79,10.24,3.608378378378378,0.0236220472440944,0.0,0.0,0.0
recalled,127,15,177,1.4047619047619047,4.2,79.87,15.55,7.64,88.35,7.87,3.15,13.39,2.36,3.94,7.09,1.57,5.51,5.51,8.66,0.0,12.59,3.1195348837209305,0.0157480314960629,0.0,0.0,0.0
imagined,313,15,406,1.313915857605178,7.8,75.95,67.58,92.04,65.56,3.51,0.64,6.71,2.56,1.6,13.42,0.96,8.629999999999999,1.28,15.34,1.28,7.67,2.9072277227722774,0.022364217252396,0.0,0.0031948881789137,0.0
recalled,186,7,229,1.2445652173913044,8.8,78.62,56.16,55.02,44.38,2.15,0.54,10.22,0.54,1.61,11.29,0.0,8.6,1.62,11.29,2.6900000000000004,5.380000000000003,3.250625,0.021505376344086,0.0,0.0,0.021505376344086
imagined,137,15,161,1.248062015503876,1.9,96.59,23.07,88.78,12.58,0.73,1.46,5.84,0.73,2.19,13.87,0.0,14.6,0.73,8.76,7.3,4.380000000000001,3.4591666666666665,0.0072992700729927,0.0,0.0218978102189781,0.0
recalled,395,24,494,1.2731958762886597,6.1,80.41,31.17,98.29,1.0,0.76,5.32,10.38,0.25,1.52,12.15,0.0,8.86,2.2800000000000002,18.479999999999997,3.5500000000000003,15.959999999999999,3.225673076923077,0.0202531645569619,0.0,0.0,0.0
imagined,414,25,533,1.3095823095823096,6.1,80.31,32.73,93.17,45.69,2.17,0.48,12.32,1.21,1.45,10.63,0.24,9.91,2.66,14.02,2.42,8.469999999999997,3.0692553191489367,0.0217391304347825,0.0,0.0,0.002415458937198
recalled,271,22,339,1.2840909090909092,4.4,84.68,28.67,96.9,7.13,1.48,2.95,10.7,0.74,1.11,14.02,0.37,11.44,1.48,11.45,1.1099999999999999,3.34,3.0790540540540543,0.014760147601476,0.0,0.0,0.007380073800738
imagined,222,22,285,1.3194444444444444,3.6,86.91,30.13,97.83,26.09,3.15,2.7,6.76,2.25,0.0,13.96,0.9,11.71,0.45,13.96,4.05,9.91,3.183235294117647,0.009009009009009,0.0,0.0,0.0045045045045045
recalled,170,16,220,1.3095238095238095,3.8,86.2,1.21,99.0,92.46,6.47,1.18,5.29,5.29,2.35,20.0,1.76,10.59,4.12,20.0,3.53,11.18,2.84875,0.0117647058823529,0.0,0.0,0.0
imagined,458,25,631,1.4053452115812917,8.0,70.13,51.88,92.87,68.35,4.15,1.09,10.26,0.87,0.66,12.01,0.22,10.48,1.53,13.75,1.75,8.950000000000001,3.061754385964912,0.0218340611353711,0.0,0.0305676855895196,0.0021834061135371
recalled,378,24,468,1.2892561983471074,5.6,81.53,20.32,45.24,1.9,3.44,6.35,1.32,6.61,1.32,21.43,0.26,0.53,12.170000000000002,9.26,3.44,1.0599999999999987,2.7052439024390247,0.0,0.0,0.0,0.0052910052910052
imagined,148,15,169,1.1496598639455782,1.2,103.83,17.17,91.47,51.44,2.03,0.0,4.05,6.76,4.05,14.19,0.0,14.19,3.3800000000000003,16.89,4.73,9.460000000000003,3.2942105263157897,0.0135135135135134,0.0067567567567567,0.0,0.0067567567567567
recalled,283,15,333,1.2333333333333334,5.6,87.05,11.34,61.91,58.98,2.83,0.35,6.36,3.53,1.06,10.25,0.35,9.9,6.71,14.840000000000002,1.4100000000000001,9.18,3.0568852459016393,0.014134275618374501,0.0,0.0,0.0035335689045936
imagined,147,17,207,1.4375,4.2,79.77,48.65,32.68,98.11,6.8,0.0,8.16,2.04,0.0,10.88,0.0,7.48,0.68,14.28,2.04,12.24,3.4129999999999994,0.0340136054421768,0.0,0.0,0.0
recalled,222,15,309,1.3981900452488687,6.7,73.47,85.33,68.14,86.41,4.5,0.0,7.21,3.6,0.45,7.66,0.0,2.7,1.8,18.02,4.95,19.81,3.3290140845070417,0.027027027027027,0.0225225225225225,0.0,0.0
imagined,485,26,600,1.2371134020618557,5.9,86.33,47.07,99.0,52.04,2.27,0.21,10.72,1.03,0.82,13.2,0.21,13.61,1.66,17.53,2.88,9.89,3.245775862068966,0.014432989690721501,0.0,0.0,0.0164948453608246
recalled,231,15,293,1.2683982683982684,5.8,81.22,83.97,95.15,53.8,3.03,0.87,9.96,0.0,0.0,9.09,0.0,7.79,2.16,19.05,5.63,19.49,3.095714285714286,0.0303030303030302,0.0,0.0,0.0
imagined,198,16,264,1.346938775510204,4.5,84.37,36.2,97.32,59.87,3.54,1.01,9.6,4.55,0.51,14.14,0.0,9.1,0.0,19.2,1.01,10.620000000000001,2.948125,0.01010101010101,0.0,0.0,0.005050505050505
recalled,334,20,433,1.3161094224924013,6.2,80.11,57.49,87.84,76.05,4.49,0.9,10.48,0.3,0.9,8.98,0.0,8.379999999999999,1.5,20.36,1.2,18.27,3.311666666666667,0.0269461077844311,0.0,0.0,0.0
imagined,194,15,236,1.2421052631578948,3.5,92.42,37.9,88.52,6.73,1.55,3.09,10.31,2.58,0.0,7.22,0.0,8.25,6.7,24.75,0.52,22.69,3.4446376811594206,0.0051546391752577,0.0,0.0,0.0
recalled,185,8,229,1.2722222222222221,8.5,74.02,55.92,82.38,9.74,1.08,2.16,8.65,0.54,0.0,9.73,0.0,9.19,5.95,14.600000000000001,3.24,11.890000000000004,3.3307352941176473,0.0162162162162162,0.0,0.0,0.0054054054054054
imagined,253,21,344,1.3870967741935485,5.5,76.42,52.27,80.83,1.0,0.79,4.35,8.3,4.35,1.98,17.39,0.0,5.140000000000001,0.4,11.46,0.4,0.0,3.0197058823529415,0.0197628458498023,0.0,0.0,0.0039525691699604
recalled,368,22,428,1.1823204419889504,5.0,88.57,54.07,99.0,1.77,0.54,3.53,9.51,1.9,1.09,6.52,0.27,14.67,3.5399999999999996,19.02,3.8099999999999996,20.66,3.4219780219780223,0.0108695652173912,0.0,0.0,0.0163043478260869
imagined,255,16,316,1.253968253968254,5.9,80.82,54.99,98.77,93.58,5.49,0.0,6.67,3.14,1.18,7.45,0.0,8.629999999999999,0.39,22.36,1.96,22.75,3.1147945205479446,0.011764705882352799,0.0,0.0156862745098039,0.0
recalled,439,23,561,1.289655172413793,7.1,77.67,58.0,90.31,66.89,3.19,0.23,3.19,6.15,1.59,11.39,0.0,5.92,3.19,17.77,4.109999999999999,14.36,3.1556034482758624,0.011389521640091,0.0,0.0113895216400911,0.0045558086560364
imagined,233,16,309,1.331896551724138,5.4,82.14,46.86,10.34,15.44,2.58,3.0,9.44,0.43,1.29,9.87,0.43,1.29,10.299999999999999,16.31,2.15,14.6,2.982553191489362,0.0343347639484977,0.0,0.0042918454935622,0.0042918454935622
recalled,154,15,222,1.4415584415584415,4.9,77.94,43.15,50.45,91.84,5.19,0.0,8.44,4.55,0.0,7.79,3.25,11.04,2.6,10.389999999999999,0.0,8.439999999999998,2.836060606060606,0.0064935064935064,0.0,0.0064935064935064,0.0064935064935064
imagined,243,15,321,1.3209876543209877,6.1,80.41,25.85,92.16,51.97,2.88,0.82,5.76,6.58,1.65,10.7,1.23,11.530000000000001,2.06,20.57,1.23,15.220000000000002,3.243835616438356,0.0082304526748971,0.0,0.0,0.0123456790123456
recalled,210,18,268,1.276190476190476,4.3,84.98,7.84,78.04,65.27,3.81,0.95,9.52,2.86,1.43,10.95,1.43,11.43,0.48,12.86,1.91,8.580000000000002,3.1662711864406776,0.0238095238095238,0.0,0.0,0.0142857142857142
imagined,87,5,115,1.4024390243902438,7.3,71.75,93.52,21.61,56.07,3.45,1.15,6.9,0.0,0.0,4.6,0.0,6.9,4.6,6.9,2.3,9.2,3.206451612903225,0.0114942528735632,0.0,0.0344827586206896,0.0114942528735632
recalled,301,18,396,1.337837837837838,6.1,80.21,35.12,89.12,34.22,3.99,2.99,7.31,4.65,1.0,13.62,0.33,6.98,0.99,11.96,1.65,7.3000000000000025,2.930769230769231,0.0033222591362126,0.0132890365448504,0.0066445182724252,0.0066445182724252
imagined,494,23,651,1.3506224066390042,9.1,67.08,45.6,87.63,44.49,2.02,0.4,8.5,2.02,1.21,11.13,0.2,8.9,1.6099999999999999,12.35,2.4299999999999997,6.08,3.2638400000000005,0.0080971659919028,0.0,0.0,0.0040485829959514
imagined,391,24,487,1.2782152230971129,6.0,80.72,58.25,99.0,30.7,2.05,1.28,10.23,0.77,2.3,12.02,0.26,9.97,0.26,21.22,2.3,14.82,3.113030303030303,0.038363171355498604,0.0,0.0,0.0051150895140664
recalled,239,16,299,1.261603375527426,5.5,81.83,61.96,91.04,83.19,5.02,0.84,15.06,0.84,0.84,8.37,0.42,11.29,1.26,19.25,1.26,18.0,3.3114666666666666,0.00418410041841,0.0,0.0,0.0
imagined,69,4,76,1.1176470588235294,4.0,96.52,72.44,44.75,65.92,2.9,0.0,2.9,4.35,0.0,5.8,0.0,0.0,5.8,17.39,2.9,17.389999999999997,3.3573684210526316,0.0434782608695652,0.0,0.0,0.0
imagined,273,16,306,1.176923076923077,4.9,88.77,26.34,51.42,35.85,2.93,1.83,10.99,0.73,0.0,9.52,0.37,8.790000000000001,6.970000000000001,16.48,0.73,12.45,3.1671641791044776,0.0109890109890109,0.0109890109890109,0.0,0.0
recalled,300,15,343,1.1666666666666667,6.2,85.42,65.42,72.01,29.19,1.33,0.67,5.67,3.0,1.0,9.0,0.33,10.0,2.67,20.0,4.33,17.33,3.4612857142857143,0.0,0.0033333333333333,0.0,0.013333333333333301
imagined,134,15,159,1.1954887218045114,2.0,96.28,54.92,59.19,3.67,2.24,4.48,10.45,2.99,0.0,8.96,0.0,9.7,3.74,11.94,2.24,11.939999999999998,3.2953124999999996,0.0074626865671641,0.0,0.0,0.0
