outcome_class,word_counts,num_sentences,num_syllables,avg_syllables_per_word,fk_grade,fk_read,Analytic,Authentic,Tone,tone_pos,tone_neg,focuspast,focuspresent,focusfuture,Cognition,memory,Self-reference,Other-reference,Contextual Embedding,Perceptual Details,Reality Monitoring,concr_score,Temporal details,Spatial details,People,Quantity details
t,64,4,76,1.1875,4.8,89.08,34.33,23.08,99.0,7.81,0.0,0.0,7.81,0.0,7.81,0.0,14.06,0.0,1.56,3.12,4.679999999999999,3.449411764705882,0.0,0.0,0.0,0.0
t,60,3,73,1.2372881355932204,6.3,85.32,44.66,63.35,90.5,5.0,0.0,1.67,1.67,3.33,5.0,0.0,6.66,10.0,13.33,0.0,13.329999999999998,3.5975,1.6666666666666667,3.333333333333333,0.0,3.3333333333333335
t,40,1,54,1.3846153846153846,16.1,48.81,94.88,99.0,59.44,2.5,0.0,2.5,0.0,5.0,5.0,0.0,7.5,0.0,30.0,0.0,27.5,3.7473333333333327,5.0,0.0,0.0,0.0
t,72,5,86,1.2112676056338028,4.1,90.9,26.97,21.11,63.38,2.74,0.0,2.74,6.85,6.85,2.74,0.0,4.11,5.48,13.7,0.0,13.699999999999998,3.2825,6.944444444444444,0.0,2.7777777777777777,2.7777777777777777
t,47,2,58,1.288888888888889,8.5,74.02,30.18,98.23,83.95,4.26,0.0,2.13,0.0,8.51,12.77,0.0,14.899999999999999,2.13,10.64,0.0,2.130000000000001,3.4113333333333333,4.25531914893617,0.0,0.0,2.127659574468085
t,32,2,43,1.34375,6.0,80.62,62.1,96.5,20.23,0.0,0.0,0.0,6.25,3.13,3.13,0.0,6.25,3.13,21.880000000000003,0.0,18.750000000000004,3.450909090909091,9.375,0.0,0.0,0.0
t,20,1,25,1.25,7.6,76.56,80.96,89.39,90.5,5.0,0.0,0.0,0.0,5.0,0.0,0.0,5.0,0.0,25.0,0.0,30.0,3.2024999999999997,0.0,0.0,0.0,0.0
t,26,2,29,1.1153846153846154,2.5,100.58,89.52,94.47,20.23,0.0,0.0,0.0,0.0,7.69,0.0,0.0,7.69,0.0,26.92,0.0,26.92,4.4399999999999995,0.0,3.8461538461538463,0.0,0.0
t,54,3,67,1.2641509433962264,6.7,78.89,28.44,27.44,99.0,9.26,0.0,0.0,1.85,7.41,3.7,0.0,14.809999999999999,0.0,7.4,0.0,12.96,3.6615,0.0,0.0,0.0,0.0
t,57,3,74,1.2982456140350878,7.2,77.57,52.34,99.0,92.27,5.26,0.0,3.51,1.75,1.75,12.28,0.0,12.28,0.0,19.299999999999997,1.75,14.029999999999996,3.216470588235294,0.0,0.0,0.0,0.0
t,24,1,32,1.3333333333333333,9.1,72.5,73.36,99.0,20.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.67,0.0,25.010000000000005,0.0,25.010000000000005,3.4344444444444444,0.0,0.0,0.0,0.0
t,51,2,63,1.2352941176470589,8.5,79.43,86.58,83.69,80.19,3.92,0.0,0.0,7.84,1.96,1.96,0.0,5.88,3.92,21.56,0.0,23.519999999999996,3.4200000000000004,3.92156862745098,0.0,0.0,0.0
t,116,3,135,1.2162162162162162,13.0,67.76,10.98,37.6,96.03,6.03,0.0,2.59,2.59,5.17,12.93,0.0,6.9,7.750000000000001,8.620000000000001,0.0,2.5900000000000016,3.1496551724137936,0.8620689655172413,0.0,0.0,0.8620689655172413
t,57,3,69,1.2105263157894737,6.0,86.03,47.02,58.46,1.0,5.26,8.77,0.0,1.75,7.02,1.75,0.0,10.52,3.51,17.54,0.0,29.83,3.7722222222222226,0.0,1.7543859649122806,0.0,0.0
t,36,2,38,1.1515151515151516,5.0,88.57,33.38,1.17,99.0,11.11,0.0,2.78,2.78,11.11,0.0,0.0,19.439999999999998,5.56,2.78,0.0,13.889999999999999,3.6318181818181823,0.0,0.0,2.7777777777777777,0.0
t,40,2,43,1.075,5.2,93.48,54.7,99.0,20.23,0.0,0.0,0.0,5.0,7.5,7.5,0.0,15.0,0.0,17.5,0.0,10.0,3.3284615384615384,0.0,0.0,0.0,0.0
t,33,3,43,1.303030303030303,4.0,85.69,63.17,95.15,20.23,3.03,3.03,0.0,3.03,3.03,9.09,0.0,9.09,0.0,21.209999999999997,0.0,18.179999999999996,2.8792857142857136,3.0303030303030303,0.0,0.0,0.0
t,52,1,67,1.3137254901960784,19.6,45.09,17.58,11.63,79.29,3.85,0.0,1.92,3.85,7.69,11.54,0.0,3.84,3.85,11.54,0.0,3.8499999999999996,3.683529411764706,0.0,0.0,0.0,1.9230769230769231
t,28,2,36,1.2857142857142858,5.2,82.65,93.52,86.26,20.23,0.0,0.0,0.0,0.0,3.45,6.9,0.0,10.34,0.0,10.350000000000001,13.8,17.25,4.257142857142857,0.0,0.0,0.0,0.0
t,70,4,109,1.5571428571428572,10.1,53.71,85.07,4.17,99.0,10.0,0.0,1.43,1.43,4.29,2.86,0.0,7.14,4.29,12.85,1.43,21.42,3.183214285714285,2.857142857142857,0.0,1.4285714285714286,0.0
t,26,1,32,1.2307692307692308,8.7,78.93,96.67,57.98,20.23,0.0,0.0,0.0,0.0,11.54,0.0,0.0,7.69,0.0,19.23,11.55,30.78,3.8327272727272725,0.0,0.0,0.0,0.0
t,110,9,148,1.3454545454545455,4.5,84.47,29.57,74.91,47.86,1.82,0.0,5.45,2.73,2.73,10.0,0.0,10.91,3.64,16.36,0.0,8.18,3.2207142857142856,6.363636363636363,0.9090909090909092,0.9090909090909092,2.727272727272727
t,149,7,188,1.2789115646258504,7.9,75.54,81.58,99.0,13.1,0.0,0.67,0.67,0.67,8.05,3.36,0.0,8.05,0.67,25.5,2.0100000000000002,24.820000000000004,3.5675,2.013422818791946,0.0,0.0,0.0
t,79,6,91,1.1666666666666667,3.6,92.12,80.82,47.11,78.69,3.8,0.0,0.0,2.53,11.39,1.27,0.0,10.12,0.0,16.46,0.0,18.990000000000002,3.8145454545454545,1.2658227848101269,1.2658227848101269,0.0,2.5316455696202533
t,41,2,46,1.2432432432432432,5.8,86.54,41.16,94.28,89.58,4.88,0.0,2.44,0.0,0.0,0.0,0.0,7.32,0.0,19.51,0.0,24.39,3.284,4.878048780487805,0.0,0.0,0.0
t,20,1,26,1.3,7.6,76.56,69.05,99.0,20.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,25.0,5.0,30.0,4.247777777777778,0.0,0.0,0.0,0.0
t,126,8,162,1.3064516129032258,5.8,81.12,84.5,39.59,97.05,6.35,0.0,0.0,7.94,4.76,6.35,0.0,7.1499999999999995,3.97,16.659999999999997,1.58,18.239999999999995,2.939512195121951,0.7936507936507936,0.0,0.0,0.7936507936507936
t,69,2,79,1.196969696969697,11.4,71.82,76.0,82.12,20.23,1.45,1.45,0.0,4.35,0.0,2.9,0.0,10.149999999999999,0.0,23.18,2.9,26.08,3.6966666666666663,0.0,4.3478260869565215,0.0,1.4492753623188406
t,82,4,94,1.146341463414634,5.4,92.97,59.42,51.25,76.91,3.66,0.0,0.0,6.1,4.88,3.66,0.0,8.540000000000001,0.0,15.86,0.0,15.86,3.532083333333334,1.2195121951219512,0.0,0.0,0.0
t,60,4,74,1.2758620689655173,5.4,82.14,65.54,95.4,20.23,0.0,0.0,3.23,6.45,9.68,1.61,0.0,9.68,3.23,19.35,0.0,17.740000000000002,3.3089473684210526,8.333333333333334,0.0,0.0,0.0
t,56,2,73,1.4313725490196079,10.9,62.51,7.34,94.2,20.23,0.0,0.0,5.36,0.0,5.36,14.29,0.0,10.709999999999999,0.0,19.65,0.0,5.359999999999999,3.2713333333333328,3.571428571428571,0.0,0.0,0.0
t,21,3,28,1.3333333333333333,2.5,89.75,99.0,50.45,20.23,0.0,0.0,0.0,0.0,4.55,9.09,0.0,0.0,4.55,13.649999999999999,0.0,4.559999999999999,3.688888888888889,4.761904761904762,4.761904761904762,0.0,9.523809523809524
t,15,1,19,1.2666666666666666,5.6,81.63,99.0,63.35,20.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.67,0.0,13.34,0.0,13.34,3.9412499999999997,0.0,0.0,0.0,0.0
t,47,5,60,1.2765957446808511,3.4,87.31,98.55,99.0,20.23,0.0,0.0,2.08,2.08,2.08,2.08,0.0,10.42,0.0,27.08,0.0,25.0,3.4375,12.765957446808509,0.0,0.0,2.127659574468085
t,25,1,36,1.44,10.7,63.02,99.0,13.33,20.23,0.0,0.0,0.0,4.0,8.0,0.0,0.0,4.0,0.0,12.0,8.0,20.0,3.679090909090909,8.0,8.0,0.0,0.0
t,32,1,42,1.3125,12.2,64.38,78.28,89.39,69.4,3.13,0.0,0.0,0.0,0.0,3.13,0.0,6.25,6.25,18.76,3.13,21.89,4.013333333333333,0.0,0.0,0.0,0.0
t,80,6,111,1.4050632911392404,6.1,75.0,17.76,71.5,78.09,3.75,0.0,3.75,7.5,3.75,10.0,0.0,6.25,2.5,17.5,0.0,11.25,3.305,1.25,1.25,0.0,0.0
t,24,1,31,1.2916666666666667,9.1,72.5,37.3,3.81,99.0,12.5,0.0,0.0,4.17,8.33,0.0,0.0,8.33,8.33,16.67,0.0,29.17,3.5,8.333333333333332,0.0,0.0,0.0
t,48,3,56,1.1914893617021276,4.7,89.38,86.38,26.04,20.23,0.0,0.0,0.0,0.0,8.33,2.08,0.0,6.25,6.25,10.42,2.08,10.42,3.8535294117647054,4.166666666666666,0.0,0.0,4.166666666666666
t,87,4,117,1.3604651162790697,9.3,66.57,84.0,28.21,74.09,3.45,0.0,6.9,1.15,0.0,9.2,0.0,5.75,5.75,10.350000000000001,1.15,5.7500000000000036,3.3948148148148154,1.1494252873563218,0.0,0.0,1.1494252873563218
t,38,2,48,1.263157894736842,7.2,77.57,44.4,99.0,20.23,0.0,0.0,0.0,0.0,10.53,10.53,0.0,15.79,0.0,26.32,2.63,18.42,2.946363636363636,0.0,0.0,0.0,0.0
t,17,1,21,1.2352941176470589,5.2,88.06,16.49,83.69,95.42,5.88,0.0,0.0,0.0,5.88,5.88,0.0,11.76,11.76,11.76,0.0,11.760000000000002,3.8524999999999996,0.0,0.0,0.0,5.88235294117647
t,77,5,102,1.3246753246753247,5.8,81.22,74.7,99.0,20.23,0.0,0.0,0.0,6.49,10.39,5.19,0.0,9.09,0.0,23.38,0.0,18.189999999999998,3.545384615384615,1.2987012987012987,0.0,0.0,0.0
t,160,4,200,1.2903225806451613,14.9,57.47,63.89,67.52,69.4,5.0,1.88,1.25,2.5,1.88,7.5,0.0,7.5,3.13,13.13,7.51,20.02,3.1884782608695645,1.25,0.0,0.0,1.25
t,38,2,52,1.368421052631579,8.3,69.11,67.62,8.42,92.27,5.26,0.0,5.26,0.0,5.26,5.26,0.0,5.26,0.0,10.53,18.419999999999998,28.949999999999996,3.2992307692307694,0.0,0.0,0.0,0.0
t,61,4,69,1.1311475409836065,3.4,98.25,45.55,49.37,44.83,1.64,0.0,0.0,6.56,8.2,3.28,0.0,8.2,6.56,18.04,1.64,18.04,4.0175,0.0,0.0,0.0,0.0
t,59,4,77,1.305084745762712,5.5,81.83,84.11,20.4,99.0,8.47,0.0,0.0,1.69,3.39,13.56,0.0,0.0,3.39,8.47,1.69,6.769999999999998,3.153,0.0,0.0,0.0,1.694915254237288
t,59,2,79,1.3620689655172413,12.2,58.96,73.0,76.13,98.08,6.78,0.0,0.0,5.08,1.69,8.47,0.0,3.39,1.69,20.33,5.08,23.72,3.0005263157894735,1.694915254237288,0.0,0.0,0.0
t,51,4,60,1.2,3.4,92.63,91.99,95.46,50.31,1.96,0.0,1.96,3.92,3.92,0.0,0.0,7.84,0.0,25.490000000000002,0.0,27.450000000000003,3.5058823529411764,5.88235294117647,0.0,0.0,1.96078431372549
t,37,1,58,1.5675675675675675,17.7,33.92,95.19,36.48,93.12,5.41,0.0,0.0,2.7,0.0,2.7,0.0,0.0,0.0,13.52,2.7,18.93,3.203157894736842,0.0,0.0,0.0,0.0
t,89,6,101,1.188235294117647,4.1,90.9,58.76,66.42,73.53,3.41,0.0,3.41,3.41,2.27,2.27,0.0,9.09,0.0,20.46,2.28,23.880000000000003,4.0131578947368425,4.49438202247191,0.0,0.0,1.1235955056179776
t,34,1,39,1.1470588235294117,10.7,79.27,16.49,99.0,20.23,0.0,0.0,5.88,0.0,5.88,2.94,0.0,14.71,2.94,20.58,2.94,20.58,3.41,5.88235294117647,0.0,0.0,5.88235294117647
t,16,1,21,1.3125,6.0,80.62,78.28,89.39,20.23,0.0,0.0,0.0,6.25,0.0,0.0,0.0,12.5,0.0,25.0,0.0,25.0,3.814,0.0,0.0,0.0,0.0
t,57,4,65,1.1403508771929824,3.0,99.26,76.53,58.46,46.76,1.75,0.0,3.51,10.53,0.0,1.75,0.0,1.75,0.0,19.299999999999997,0.0,19.299999999999997,3.9855555555555546,1.7543859649122806,0.0,0.0,1.7543859649122806
t,17,1,21,1.2352941176470589,5.2,88.06,46.7,97.97,20.23,0.0,0.0,0.0,0.0,11.76,0.0,0.0,17.64,0.0,17.64,0.0,17.64,3.57125,11.76470588235294,0.0,0.0,0.0
t,58,4,73,1.280701754385965,5.3,82.34,80.59,43.66,74.09,3.45,0.0,0.0,5.17,3.45,1.72,0.0,10.350000000000001,1.72,10.34,6.9,18.970000000000002,3.371052631578948,5.172413793103448,3.4482758620689653,0.0,0.0
t,91,5,116,1.380952380952381,7.5,71.34,86.19,90.28,99.0,7.69,0.0,2.2,1.1,1.1,3.3,0.0,8.79,0.0,16.48,0.0,20.87,3.3811111111111107,5.4945054945054945,0.0,0.0,0.0
t,19,2,26,1.4444444444444444,4.4,79.26,6.22,1.0,92.27,5.26,0.0,0.0,5.26,5.26,0.0,0.0,5.26,10.53,5.26,5.26,21.049999999999997,3.75625,0.0,0.0,0.0,0.0
t,101,7,133,1.3434343434343434,5.2,82.54,74.39,94.09,95.66,5.94,0.0,2.97,4.95,0.0,4.95,0.0,5.9399999999999995,1.98,21.78,1.98,24.750000000000004,3.1831428571428573,2.9702970297029703,2.9702970297029703,0.99009900990099,0.0
t,35,4,42,1.2727272727272727,3.0,88.43,72.76,11.24,94.7,5.71,0.0,5.71,5.71,2.86,2.86,0.0,0.0,2.86,14.29,0.0,17.14,4.002857142857143,0.0,0.0,2.857142857142857,2.857142857142857
t,61,4,78,1.3,5.6,81.63,93.36,37.69,99.0,9.84,0.0,0.0,3.28,6.56,8.2,0.0,3.28,0.0,9.84,0.0,11.48,3.2865,6.557377049180328,1.639344262295082,0.0,1.639344262295082
t,43,3,60,1.3953488372093024,6.5,73.88,64.59,99.0,20.23,0.0,0.0,0.0,2.33,2.33,13.95,0.0,9.3,0.0,32.55,0.0,18.599999999999998,3.477368421052631,11.627906976744187,0.0,0.0,6.976744186046512
t,48,3,57,1.2127659574468086,4.7,89.38,78.28,94.8,20.23,0.0,0.0,0.0,4.17,0.0,6.25,0.0,8.33,6.25,16.67,6.24,16.660000000000004,3.9979999999999998,0.0,0.0,0.0,2.083333333333333
t,35,4,43,1.2647058823529411,3.1,88.23,31.66,42.95,65.27,2.86,0.0,2.86,0.0,14.29,0.0,0.0,17.14,0.0,11.43,2.86,17.15,3.4241666666666664,2.857142857142857,0.0,0.0,2.857142857142857
t,51,2,59,1.1568627450980393,8.5,79.43,95.53,99.0,20.23,0.0,0.0,0.0,3.92,3.92,3.92,0.0,5.88,0.0,37.25,0.0,33.33,3.5590476190476195,5.882352941176469,1.96078431372549,1.96078431372549,3.92156862745098
t,48,3,52,1.1555555555555554,4.4,90.09,89.52,26.04,83.0,4.17,0.0,0.0,2.08,2.08,2.08,0.0,6.25,4.17,10.41,0.0,12.5,3.668235294117647,4.166666666666666,0.0,0.0,0.0
t,28,1,35,1.25,10.7,68.44,76.24,99.0,75.77,3.57,0.0,0.0,0.0,7.14,0.0,0.0,10.709999999999999,0.0,28.57,0.0,32.14,4.008181818181819,0.0,0.0,0.0,3.571428571428571
t,46,4,55,1.5277777777777777,5.6,70.8,99.0,99.0,20.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.35,0.0,34.79,4.34,39.129999999999995,4.1433333333333335,2.1739130434782608,0.0,0.0,0.0
t,19,2,24,1.3333333333333333,3.3,87.72,36.67,99.0,20.23,0.0,0.0,0.0,0.0,10.53,10.53,0.0,5.26,0.0,31.58,0.0,21.049999999999997,3.3885714285714283,0.0,0.0,0.0,10.526315789473683
t,83,5,93,1.1625,4.8,89.08,78.79,95.9,20.23,0.0,0.0,0.0,0.0,8.43,6.02,0.0,4.81,0.0,24.09,1.2,19.27,3.6583333333333337,3.614457831325301,1.2048192771084338,0.0,0.0
t,23,1,30,1.3043478260869565,8.7,73.51,99.0,74.45,20.23,0.0,0.0,0.0,0.0,8.7,0.0,0.0,0.0,0.0,21.74,8.7,30.439999999999998,3.87875,0.0,4.3478260869565215,0.0,0.0
t,42,3,63,1.5,7.6,65.73,92.44,99.0,99.0,9.52,0.0,0.0,0.0,9.52,4.76,0.0,9.52,0.0,21.42,0.0,26.18,2.8991666666666664,0.0,0.0,0.0,0.0
t,18,1,25,1.5625,9.5,55.24,79.79,77.17,99.0,11.11,0.0,0.0,0.0,11.11,0.0,0.0,11.11,5.56,16.669999999999998,0.0,27.779999999999998,3.6614285714285706,5.555555555555555,5.555555555555555,0.0,5.555555555555555
t,64,3,76,1.1875,6.9,83.7,95.8,93.71,69.4,3.13,0.0,0.0,3.13,4.69,4.69,0.0,7.8100000000000005,6.25,25.000000000000004,0.0,23.44,3.7323999999999997,4.6875,0.0,0.0,0.0
t,52,3,73,1.4038461538461537,7.7,70.84,74.95,70.92,79.29,3.85,0.0,0.0,5.77,0.0,3.85,0.0,7.69,1.92,9.61,0.0,9.61,3.628999999999999,0.0,0.0,0.0,0.0
t,50,3,63,1.26,6.3,79.9,74.19,99.0,99.0,8.0,0.0,0.0,4.0,0.0,6.0,0.0,8.0,2.0,26.0,2.0,30.0,3.4449999999999994,2.0,0.0,0.0,0.0
t,39,3,48,1.263157894736842,4.7,83.96,53.56,66.8,60.52,2.56,0.0,0.0,0.0,7.69,5.13,0.0,7.69,0.0,10.26,0.0,7.69,3.59625,2.564102564102564,0.0,5.128205128205128,0.0
t,20,1,29,1.45,9.9,59.64,94.88,7.03,20.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,10.0,15.0,4.279,0.0,0.0,0.0,0.0
t,21,1,24,1.1428571428571428,5.6,92.46,99.0,97.09,20.23,0.0,0.0,0.0,0.0,4.76,0.0,0.0,4.76,0.0,28.56,0.0,28.56,3.8962499999999998,0.0,4.761904761904762,0.0,0.0
t,50,3,53,1.1041666666666667,3.6,97.54,23.71,49.13,20.23,2.0,2.0,0.0,6.0,8.0,18.0,0.0,12.0,2.0,4.0,0.0,-8.0,3.2030769230769227,4.0,0.0,0.0,0.0
t,26,3,29,1.1153846153846154,0.8,104.94,53.56,81.58,79.29,3.85,0.0,0.0,0.0,11.54,3.85,0.0,11.540000000000001,0.0,15.39,0.0,19.23,3.703333333333333,0.0,0.0,0.0,0.0
t,60,6,68,1.1333333333333333,1.3,103.63,18.61,99.0,90.5,5.0,0.0,0.0,0.0,10.0,1.67,0.0,16.67,1.67,26.67,1.67,31.67,4.054736842105263,1.6666666666666667,1.6666666666666667,0.0,1.6666666666666667
t,19,1,20,1.1111111111111112,4.4,95.51,89.52,99.0,20.23,0.0,0.0,5.26,5.26,0.0,5.26,0.0,10.52,0.0,26.310000000000002,5.26,26.310000000000002,3.1279999999999997,10.526315789473683,5.263157894736842,0.0,0.0
t,91,3,106,1.164835164835165,10.4,74.56,60.11,99.0,35.85,3.3,2.2,0.0,7.69,3.3,9.89,0.0,7.69,1.1,27.47,1.1,24.17,3.320740740740741,3.296703296703297,2.197802197802198,1.098901098901099,1.098901098901099
t,109,5,133,1.2201834862385321,7.1,83.19,73.55,99.0,77.05,3.67,0.0,1.83,4.59,1.83,11.01,0.0,9.17,1.83,24.759999999999998,0.92,18.340000000000003,3.2316129032258063,1.8348623853211008,0.9174311926605504,0.0,2.752293577981652
t,18,2,24,1.3333333333333333,3.3,87.72,95.3,99.0,93.93,5.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.34,0.0,38.900000000000006,3.7933333333333334,5.555555555555555,0.0,0.0,0.0
t,35,4,42,1.2352941176470589,1.9,96.69,85.07,99.0,65.27,2.86,0.0,0.0,5.71,2.86,0.0,0.0,8.57,0.0,28.57,0.0,31.43,3.582727272727273,5.714285714285714,2.857142857142857,0.0,0.0
t,28,2,30,1.0714285714285714,2.9,99.57,76.24,48.09,75.77,3.57,0.0,0.0,0.0,7.14,0.0,0.0,7.14,3.57,17.86,0.0,21.43,3.9699999999999998,3.571428571428571,0.0,0.0,3.571428571428571
t,34,2,43,1.2647058823529411,6.4,79.6,79.1,97.97,20.23,0.0,0.0,0.0,5.88,2.94,5.88,0.0,8.82,2.94,23.53,2.94,20.590000000000003,3.7844444444444445,11.764705882352942,2.941176470588235,0.0,0.0
t,42,3,51,1.2142857142857142,4.0,91.11,49.68,56.69,57.46,2.38,0.0,2.38,7.14,2.38,4.76,0.0,7.14,0.0,11.899999999999999,7.14,16.659999999999997,3.3041666666666667,2.380952380952381,2.380952380952381,0.0,0.0
t,49,3,73,1.5208333333333333,8.4,63.7,50.71,99.0,99.0,10.2,0.0,2.04,2.04,0.0,8.16,0.0,14.29,0.0,20.4,4.08,26.519999999999992,3.4165,0.0,0.0,0.0,0.0
t,37,2,42,1.135135135135135,4.6,95.0,73.93,73.75,99.0,8.11,0.0,0.0,2.7,2.7,2.7,0.0,13.52,0.0,13.52,0.0,18.93,3.5925000000000007,2.702702702702702,0.0,2.702702702702702,0.0
t,15,2,18,1.2,1.5,97.7,89.52,63.35,20.23,6.67,6.67,0.0,6.67,0.0,6.67,0.0,6.67,0.0,20.0,0.0,26.659999999999997,2.855714285714286,0.0,0.0,0.0,0.0
